,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
32261,2022-01-28,4738.2685546875,4840.0,4840.0,4840.0,4840.0,100,MASA.JK,0.0,4857.25,4760.105,0,,,False,False,,,,None
32262,2022-01-31,4738.2685546875,4840.0,4850.0,4840.0,4850.0,800,MASA.JK,0.0,4825.5,4728.99,0,0.0,1.0,False,False,,,,None
32263,2022-02-02,4611.00146484375,4710.0,4800.0,4710.0,4800.0,2800,MASA.JK,-0.02685950413223137,4806.0,4709.88,0,-0.0,1.0,False,False,,,,None
32264,2022-02-03,4581.63134765625,4680.0,4710.0,4610.0,4610.0,3300,MASA.JK,-0.006369426751592355,4790.5,4694.69,1,-0.0,1.0,True,False,0.05555555555555558,2022-02-04,4940.0,Win
32265,2022-02-04,4836.1669921875,4940.0,4950.0,4610.0,4680.0,10200,MASA.JK,0.05555555555555558,4787.5,4691.75,0,0.05555555555555558,1.0555555555555556,False,True,,,,None
32266,2022-02-07,4797.0078125,4900.0,4940.0,4900.0,4940.0,500,MASA.JK,-0.0080971659919028,4780.0,4684.4,0,-0.0,1.0555555555555556,False,False,,,,None
32267,2022-02-08,4797.0078125,4900.0,4900.0,4900.0,4900.0,100,MASA.JK,0.0,4790.0,4694.2,0,0.0,1.0555555555555556,False,False,,,,None
32268,2022-02-09,4797.0078125,4900.0,4900.0,4850.0,4880.0,1400,MASA.JK,0.0,4795.0,4699.1,0,0.0,1.0555555555555556,False,False,,,,None
32269,2022-02-10,4797.0078125,4900.0,4900.0,4900.0,4900.0,400,MASA.JK,0.0,4797.0,4701.0599999999995,0,0.0,1.0555555555555556,False,False,,,,None
32270,2022-02-11,4699.10986328125,4800.0,4900.0,4680.0,4900.0,1700,MASA.JK,-0.020408163265306145,4808.5,4712.33,0,-0.0,1.0555555555555556,False,False,,,,None
32271,2022-02-14,4659.9501953125,4760.0,4760.0,4760.0,4760.0,5000,MASA.JK,-0.008333333333333304,4819.0,4722.62,0,-0.0,1.0555555555555556,False,False,,,,None
32272,2022-02-15,4650.16015625,4750.0,4760.0,4550.0,4760.0,6600,MASA.JK,-0.0021008403361344463,4825.5,4728.99,0,-0.0,1.0555555555555556,False,False,,,,None
32273,2022-02-16,4816.5869140625,4920.0,4920.0,4740.0,4750.0,3700,MASA.JK,0.03578947368421059,4839.0,4742.22,0,0.0,1.0555555555555556,False,False,,,,None
32274,2022-02-17,4816.5869140625,4920.0,4920.0,4920.0,4920.0,100,MASA.JK,0.0,4848.5,4751.53,0,0.0,1.0555555555555556,False,False,,,,None
32275,2022-02-18,4816.5869140625,4920.0,4920.0,4850.0,4850.0,1000,MASA.JK,0.0,4850.0,4753.0,0,0.0,1.0555555555555556,False,False,,,,None
32276,2022-02-21,4816.5869140625,4920.0,4920.0,4920.0,4920.0,0,MASA.JK,0.0,4851.5,4754.47,0,0.0,1.0555555555555556,False,False,,,,None
32277,2022-02-22,4699.10986328125,4800.0,4820.0,4650.0,4820.0,6700,MASA.JK,-0.024390243902439046,4848.0,4751.04,0,-0.0,1.0555555555555556,False,False,,,,None
32278,2022-02-23,4816.5869140625,4920.0,4920.0,4700.0,4770.0,600,MASA.JK,0.02499999999999991,4851.0,4753.98,0,0.0,1.0555555555555556,False,False,,,,None
32279,2022-02-24,4797.0078125,4900.0,4920.0,4900.0,4920.0,1700,MASA.JK,-0.004065040650406471,4853.0,4755.94,0,-0.0,1.0555555555555556,False,False,,,,None
32280,2022-02-25,4669.73974609375,4770.0,4800.0,4770.0,4800.0,800,MASA.JK,-0.026530612244897944,4849.5,4752.51,0,-0.0,1.0555555555555556,False,False,,,,None
32281,2022-03-01,4659.9501953125,4760.0,4760.0,4600.0,4720.0,4900,MASA.JK,-0.002096436058700246,4845.5,4748.59,0,-0.0,1.0555555555555556,False,False,,,,None
32282,2022-03-02,4581.63134765625,4680.0,4760.0,4430.0,4760.0,16800,MASA.JK,-0.01680672268907568,4837.5,4740.75,1,-0.0,1.0555555555555556,True,False,-0.3247863247863245,2022-06-06,3240.0,Loss
32283,2022-03-04,4630.58056640625,4730.0,4950.0,4680.0,4950.0,12800,MASA.JK,0.010683760683760646,4838.5,4741.73,1,0.010683760683760646,1.0668328584995252,False,False,,,,None
32284,2022-03-07,4307.51708984375,4400.0,4630.0,4400.0,4630.0,23400,MASA.JK,-0.06976744186046513,4824.5,4728.01,1,-0.06976744186046513,0.9924026590693258,False,False,,,,None
32285,2022-03-08,4111.72119140625,4200.0,4400.0,4100.0,4400.0,18900,MASA.JK,-0.045454545454545414,4787.5,4691.75,1,-0.045454545454545414,0.9472934472934473,False,False,,,,None
32286,2022-03-09,4111.72119140625,4200.0,4280.0,4100.0,4200.0,4800,MASA.JK,0.0,4752.5,4657.45,1,0.0,0.9472934472934473,False,False,,,,None
32287,2022-03-10,4111.72119140625,4200.0,4250.0,4200.0,4250.0,2300,MASA.JK,0.0,4717.5,4623.15,1,0.0,0.9472934472934473,False,False,,,,None
32288,2022-03-11,4013.822509765625,4100.0,4190.0,4070.0,4190.0,13000,MASA.JK,-0.023809523809523836,4677.5,4583.95,1,-0.023809523809523836,0.9247388414055081,False,False,,,,None
32289,2022-03-14,3915.924560546875,4000.0,4100.0,4000.0,4100.0,10100,MASA.JK,-0.024390243902439046,4632.5,4539.85,1,-0.024390243902439046,0.9021842355175689,False,False,,,,None
32290,2022-03-15,4052.981689453125,4140.0,4500.0,4000.0,4000.0,32800,MASA.JK,0.03499999999999992,4599.5,4507.51,1,0.03499999999999992,0.9337606837606837,False,False,,,,None
32291,2022-03-16,4101.9306640625,4190.0,4230.0,4100.0,4220.0,2500,MASA.JK,0.012077294685990392,4571.0,4479.58,1,0.012077294685990392,0.9450379867046533,False,False,,,,None
32292,2022-03-17,4160.669921875,4250.0,4730.0,4210.0,4410.0,7300,MASA.JK,0.014319809069212486,4546.0,4455.08,1,0.014319809069212486,0.9585707502374169,False,False,,,,None
32293,2022-03-18,4160.669921875,4250.0,4730.0,4050.0,4240.0,24800,MASA.JK,0.0,4512.5,4422.25,1,0.0,0.9585707502374169,False,False,,,,None
32294,2022-03-21,4062.771728515625,4150.0,4710.0,4110.0,4240.0,48500,MASA.JK,-0.02352941176470591,4474.0,4384.5199999999995,1,-0.02352941176470591,0.9360161443494777,False,False,,,,None
32295,2022-03-22,4052.981689453125,4140.0,4200.0,4100.0,4150.0,44000,MASA.JK,-0.002409638554216831,4435.0,4346.3,1,-0.002409638554216831,0.9337606837606838,False,False,,,,None
32296,2022-03-23,4062.771728515625,4150.0,4200.0,4050.0,4150.0,5800,MASA.JK,0.0024154589371980784,4396.5,4308.57,1,0.0024154589371980784,0.9360161443494777,False,False,,,,None
32297,2022-03-24,4052.981689453125,4140.0,4160.0,4120.0,4150.0,1300,MASA.JK,-0.002409638554216831,4363.5,4276.23,1,-0.002409638554216831,0.9337606837606838,False,False,,,,None
32298,2022-03-25,4101.9306640625,4190.0,4400.0,4000.0,4140.0,64800,MASA.JK,0.012077294685990392,4327.0,4240.46,1,0.012077294685990392,0.9450379867046534,False,False,,,,None
32299,2022-03-28,4052.981689453125,4140.0,4200.0,4050.0,4190.0,54900,MASA.JK,-0.011933174224343701,4289.0,4203.22,1,-0.011933174224343701,0.9337606837606838,False,False,,,,None
32300,2022-03-29,4013.822509765625,4100.0,4190.0,4000.0,4120.0,18000,MASA.JK,-0.009661835748792313,4255.5,4170.39,1,-0.009661835748792313,0.924738841405508,False,False,,,,None
32301,2022-03-30,4004.032958984375,4090.0,4180.0,4000.0,4180.0,5200,MASA.JK,-0.0024390243902439046,4222.0,4137.5599999999995,1,-0.0024390243902439046,0.9224833808167141,False,False,,,,None
32302,2022-03-31,4013.822509765625,4100.0,4190.0,4000.0,4190.0,2300,MASA.JK,0.0024449877750611915,4193.0,4109.14,1,0.0024449877750611915,0.9247388414055081,False,False,,,,None
32303,2022-04-01,4004.032958984375,4090.0,4140.0,4000.0,4100.0,16100,MASA.JK,-0.0024390243902439046,4161.0,4077.7799999999997,1,-0.0024390243902439046,0.9224833808167142,False,False,,,,None
32304,2022-04-04,4013.822509765625,4100.0,4190.0,3900.0,4190.0,15900,MASA.JK,0.0024449877750611915,4146.0,4063.08,1,0.0024449877750611915,0.9247388414055082,False,False,,,,None
32305,2022-04-05,4013.822509765625,4100.0,4100.0,4040.0,4090.0,6900,MASA.JK,0.0,4141.0,4058.18,1,0.0,0.9247388414055082,False,False,,,,None
32306,2022-04-06,4013.822509765625,4100.0,4130.0,3910.0,4120.0,23300,MASA.JK,0.0,4136.0,4053.2799999999997,1,0.0,0.9247388414055082,False,False,,,,None
32307,2022-04-07,4013.822509765625,4100.0,4100.0,3900.0,4100.0,5600,MASA.JK,0.0,4131.0,4048.38,1,0.0,0.9247388414055082,False,False,,,,None
32308,2022-04-08,4013.822509765625,4100.0,4100.0,4010.0,4050.0,1700,MASA.JK,0.0,4131.0,4048.38,1,0.0,0.9247388414055082,False,False,,,,None
32309,2022-04-11,3886.554931640625,3970.0,3990.0,3880.0,3970.0,9900,MASA.JK,-0.03170731707317076,4129.5,4046.91,1,-0.03170731707317076,0.8954178537511872,False,False,,,,None
32310,2022-04-12,3808.236328125,3890.0,3970.0,3770.0,3930.0,11200,MASA.JK,-0.02015113350125941,4117.0,4034.66,1,-0.02015113350125941,0.8773741690408359,False,False,,,,None
32311,2022-04-13,3739.7080078125,3820.0,4020.0,3620.0,4020.0,33200,MASA.JK,-0.01799485861182515,4098.5,4016.5299999999997,1,-0.01799485861182515,0.8615859449192784,False,False,,,,None
32312,2022-04-14,3906.134765625,3990.0,4020.0,3940.0,3940.0,1100,MASA.JK,0.04450261780104703,4085.5,4003.79,1,0.04450261780104703,0.899928774928775,False,False,,,,None
32313,2022-04-18,3964.87353515625,4050.0,4090.0,3960.0,3990.0,3900,MASA.JK,0.015037593984962516,4075.5,3993.99,1,0.015037593984962516,0.9134615384615387,False,False,,,,None
32314,2022-04-19,3955.083740234375,4040.0,4060.0,3930.0,4050.0,2800,MASA.JK,-0.0024691358024691024,4070.0,3988.6,1,-0.0024691358024691024,0.9112060778727448,False,False,,,,None
32315,2022-04-20,3680.968994140625,3760.0,4000.0,3760.0,3990.0,34700,MASA.JK,-0.06930693069306926,4051.0,3969.98,1,-0.06930693069306926,0.848053181386515,False,False,,,,None
32316,2022-04-21,3671.17919921875,3750.0,4000.0,3600.0,3750.0,28100,MASA.JK,-0.0026595744680850686,4031.0,3950.38,1,-0.0026595744680850686,0.8457977207977211,False,False,,,,None
32317,2022-04-22,3798.44677734375,3880.0,3920.0,3750.0,3750.0,6700,MASA.JK,0.03466666666666662,4018.0,3937.64,1,0.03466666666666662,0.8751187084520421,False,False,,,,None
32318,2022-04-25,3798.44677734375,3880.0,3880.0,3660.0,3880.0,4500,MASA.JK,0.0,4002.5,3922.45,1,0.0,0.8751187084520421,False,False,,,,None
32319,2022-04-26,3778.8671875,3860.0,3880.0,3690.0,3880.0,11300,MASA.JK,-0.005154639175257714,3988.5,3908.73,1,-0.005154639175257714,0.8706077872744543,False,False,,,,None
32320,2022-04-27,3749.497802734375,3830.0,3860.0,3700.0,3830.0,8000,MASA.JK,-0.007772020725388629,3975.0,3895.5,1,-0.007772020725388629,0.8638414055080725,False,False,,,,None
32321,2022-04-28,3494.96240234375,3570.0,3820.0,3570.0,3820.0,52500,MASA.JK,-0.06788511749347259,3949.0,3870.02,1,-0.06788511749347259,0.8051994301994305,False,False,,,,None
32322,2022-05-09,3465.59326171875,3540.0,3680.0,3530.0,3570.0,29300,MASA.JK,-0.008403361344537785,3921.0,3842.58,1,-0.008403361344537785,0.7984330484330487,False,False,,,,None
32323,2022-05-10,3230.6376953125,3300.0,3540.0,3300.0,3540.0,49000,MASA.JK,-0.06779661016949157,3881.5,3803.87,1,-0.06779661016949157,0.7443019943019945,False,False,,,,None
32324,2022-05-11,3220.847900390625,3290.0,3680.0,3250.0,3300.0,173900,MASA.JK,-0.00303030303030305,3841.0,3764.18,1,-0.00303030303030305,0.7420465337132006,False,False,,,,None
32325,2022-05-12,3103.370361328125,3170.0,3290.0,3170.0,3290.0,37700,MASA.JK,-0.03647416413373861,3794.5,3718.61,1,-0.03647416413373861,0.7149810066476735,False,False,,,,None
32326,2022-05-13,2927.153564453125,2990.0,3170.0,2950.0,3170.0,21200,MASA.JK,-0.056782334384858024,3739.0,3664.22,1,-0.056782334384858024,0.6743827160493829,False,False,,,,None
32327,2022-05-17,2887.994384765625,2950.0,2990.0,2800.0,2990.0,9200,MASA.JK,-0.013377926421404673,3681.5,3607.87,1,-0.013377926421404673,0.6653608736942073,False,False,,,,None
32328,2022-05-18,2897.783935546875,2960.0,2990.0,2950.0,2950.0,18800,MASA.JK,0.003389830508474523,3624.5,3552.0099999999998,1,0.003389830508474523,0.6676163342830012,False,False,,,,None
32329,2022-05-19,3122.94970703125,3190.0,3200.0,2940.0,2940.0,9000,MASA.JK,0.07770270270270263,3585.5,3513.79,1,0.07770270270270263,0.7194919278252613,False,False,,,,None
32330,2022-05-20,2927.153564453125,2990.0,3110.0,2970.0,3110.0,55300,MASA.JK,-0.06269592476489028,3540.5,3469.69,1,-0.06269592476489028,0.6743827160493828,False,False,,,,None
32331,2022-05-23,2917.363525390625,2980.0,2990.0,2900.0,2900.0,6300,MASA.JK,-0.0033444816053511683,3498.5,3428.5299999999997,1,-0.0033444816053511683,0.6721272554605889,False,False,,,,None
32332,2022-05-24,2985.892333984375,3050.0,3050.0,2970.0,2980.0,1400,MASA.JK,0.02348993288590595,3451.5,3382.47,1,0.02348993288590595,0.6879154795821464,False,False,,,,None
32333,2022-05-25,2946.733154296875,3010.0,3010.0,2840.0,3000.0,9400,MASA.JK,-0.013114754098360604,3399.5,3331.5099999999998,1,-0.013114754098360604,0.6788936372269707,False,False,,,,None
32334,2022-05-27,2936.943359375,3000.0,3010.0,3000.0,3010.0,6500,MASA.JK,-0.0033222591362126463,3347.5,3280.5499999999997,1,-0.0033222591362126463,0.6766381766381768,False,False,,,,None
32335,2022-05-30,2936.943359375,3000.0,3000.0,2950.0,3000.0,17800,MASA.JK,0.0,3309.5,3243.31,1,0.0,0.6766381766381768,False,False,,,,None
32336,2022-05-31,2946.733154296875,3010.0,3010.0,3000.0,3010.0,27300,MASA.JK,0.0033333333333334103,3272.5,3207.0499999999997,1,0.0033333333333334103,0.6788936372269708,False,False,,,,None
32337,2022-06-02,3074.000732421875,3140.0,3600.0,3010.0,3010.0,32700,MASA.JK,0.04318936877076407,3235.5,3170.79,1,0.04318936877076407,0.7082146248812918,False,False,,,,None
32338,2022-06-03,3064.2109375,3130.0,3140.0,3010.0,3140.0,12300,MASA.JK,-0.0031847133757961776,3198.0,3134.04,1,-0.0031847133757961776,0.7059591642924979,False,False,,,,None
32339,2022-06-06,3171.89892578125,3240.0,3420.0,3130.0,3130.0,1400,MASA.JK,0.03514376996805102,3167.0,3103.66,0,0.03514376996805102,0.7307692307692311,False,True,,,,None
32340,2022-06-07,3171.89892578125,3240.0,3240.0,3150.0,3240.0,8000,MASA.JK,0.0,3137.5,3074.75,0,0.0,0.7307692307692311,False,False,,,,None
32341,2022-06-08,3132.739501953125,3200.0,3230.0,3150.0,3230.0,3200,MASA.JK,-0.012345679012345734,3119.0,3056.62,0,-0.0,0.7307692307692311,False,False,,,,None
32342,2022-06-09,3250.21728515625,3320.0,3380.0,3170.0,3190.0,227800,MASA.JK,0.03750000000000009,3108.0,3045.84,0,0.0,0.7307692307692311,False,False,,,,None
32343,2022-06-10,3240.427490234375,3310.0,3360.0,3280.0,3360.0,4400,MASA.JK,-0.003012048192771122,3108.5,3046.33,0,-0.0,0.7307692307692311,False,False,,,,None
32344,2022-06-13,3279.586669921875,3350.0,3680.0,3310.0,3310.0,7600,MASA.JK,0.012084592145015005,3111.5,3049.27,0,0.0,0.7307692307692311,False,False,,,,None
32345,2022-06-14,3514.542236328125,3590.0,3650.0,3350.0,3650.0,7700,MASA.JK,0.07164179104477619,3132.5,3069.85,0,0.0,0.7307692307692311,False,False,,,,None
32346,2022-06-15,3563.490966796875,3640.0,3680.0,3410.0,3550.0,17000,MASA.JK,0.013927576601671321,3165.0,3101.7,0,0.0,0.7307692307692311,False,False,,,,None
