Code,Listed Stocks,Number of Listed Shares,Market Capitalization IDR,Market Capitalization %
BREN,PT Barito Renewables Energy Tbk.,"133,786,220,000","1,207,420,636",8.51
BBCA,Bank Central Asia Tbk.,"122,042,299,500","985,491,568",6.95
DCII,DCI Indonesia Tbk,"2,383,745,900","811,605,885",5.72
DSSA,Dian Swastatika Sentosa Tbk,"7,705,523,200","764,387,901",5.39
TPIA,PT Chandra Asri Pacific Tbk,"86,511,545,092","713,720,247",5.03
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,"150,043,411,587","607,675,817",4.28
BYAN,Bayan Resources Tbk,"33,333,335,000","605,000,030",4.27
AMMN,PT Amman Mineral Internasional Tbk.,"72,518,217,656","569,268,009",4.01
BMRI,Bank Mandiri (Persero) Tbk.,"92,399,999,996","437,052,000",3.08
TLKM,Telkom Indonesia (Persero) Tbk.,"99,062,216,600","310,064,738",2.19
PANI,Pantai Indah Kapuk Dua Tbk,"16,883,595,500","256,630,652",1.81
ASII,Astra International Tbk,"40,483,553,140","222,659,542",1.57
BRPT,Barito Pacific Tbk,"93,747,218,044","205,306,408",1.45
CDIA,PT Chandra Daya Investasi Tbk,"124,829,374,700","184,747,475",1.30
CUAN,PT Petrindo Jaya Kreasi Tbk,"112,418,900,000","175,373,484",1.24
BBNI,PT Bank Negara Indonesia (Persero) Tbk,"36,924,339,786","161,728,608",1.14
MLPT,Multipolar Technology Tbk,"1,875,000,000","149,062,500",1.05
DNET,PT Indoritel Makmur Internasional Tbk.,"14,184,000,000","138,648,600",0.98
BRIS,PT Bank BRIsyariah Tbk,"45,667,877,639","123,759,948",0.87
BNLI,Bank Permata Tbk,"35,819,545,925","113,547,961",0.80
ICBP,Indofood CBP Sukses Makmur Tbk,"11,661,908,000","104,665,624",0.74
SMMA,Sinarmas Multiartha Tbk,"6,367,664,717","99,972,336",0.70
SRAJ,Sejahteraraya Anugrahjaya Tbk,"12,238,959,990","92,098,174",0.65
AMRT,Sumber Alfaria Trijaya Tbk.,"41,524,501,700","91,353,904",0.64
UNTR,United Tractors Tbk,"3,730,135,136","91,015,297",0.64
EMTK,Elang Mahkota Teknologi Tbk,"61,391,751,483","74,590,978",0.53
ANTM,Aneka Tambang Tbk.,"24,030,764,725","73,053,525",0.52
CPIN,Charoen Pokphand Indonesia Tbk,"16,398,000,000","70,019,460",0.49
BRMS,Bumi Resources Minerals Tbk,"141,784,040,338","66,638,499",0.47
GOTO,GoTo Gojek Tokopedia Tbk.,"1,140,573,267,220","66,153,249",0.47
INDF,Indofood Sukses Makmur Tbk,"8,780,426,500","65,414,177",0.46
ISAT,PT Indosat Tbk,"32,250,810,957","65,146,638",0.46
NCKL,PT Trimegah Bangun Persada Tbk.,"63,098,600,000","64,991,558",0.46
UNVR,Unilever Indonesia Tbk.,"38,150,000,000","64,855,000",0.46
IMPC,Impack Pratama Industri Tbk,"54,268,500,000","64,850,858",0.46
CASA,Capital Financial Indonesia Tbk,"54,476,269,803","61,830,566",0.44
HMSP,HM Sampoerna Tbk,"116,318,076,900","61,066,990",0.43
PGEO,PT Pertamina Geothermal Energy Tbk,"41,763,262,655","60,974,363",0.43
MDKA,Merdeka Copper Gold Tbk.,"24,472,983,771","60,448,270",0.43
MASA,Multistrada Arah Sarana Tbk,"9,182,946,945","56,934,271",0.40
KLBF,Kalbe Farma Tbk,"46,813,391,540","56,878,271",0.40
GEMS,Golden Energy Mines Tbk,"5,882,353,000","54,411,765",0.38
AADI,PT Adaro Andalan Indonesia Tbk,"7,786,891,760","53,729,553",0.38
ADRO,Alamtri Resources Indonesia Tbk,"29,389,689,400","51,578,905",0.36
EXCL,PT XL Axiata Tbk,"18,199,862,451","50,049,622",0.35
SUPR,Solusi Tunas Pratama Tbk,"1,137,579,698","49,882,870",0.35
BELI,PT Global Digital Niaga Tbk,"133,863,950,989","49,261,934",0.35
MTEL,Dayamitra Telekomunikasi Tbk,"83,559,636,344","48,882,387",0.34
MYOR,Mayora Indah Tbk,"22,358,699,725","46,953,269",0.33
MBMA,PT Merdeka Battery Materials Tbk,"107,995,419,900","46,006,049",0.32
