,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
15066,2022-01-28,1348.1571044921875,1435.0,1460.0,1435.0,1460.0,52300,BNLI.JK,-0.017123287671232834,1473.0,1443.54,0,,,,False,False,,,,None
15067,2022-01-31,1352.8543701171875,1440.0,1460.0,1430.0,1450.0,43700,BNLI.JK,0.0034843205574912606,1466.0,1436.68,0,,0.0,1.0,False,False,,,,None
15068,2022-02-02,1329.3673095703125,1415.0,1440.0,1400.0,1440.0,169700,BNLI.JK,-0.01736111111111116,1457.25,1428.105,1,Buy,-0.0,1.0,True,False,0.007067137809187107,2022-02-10,1425.0,Win
15069,2022-02-03,1319.97265625,1405.0,1430.0,1400.0,1415.0,99200,BNLI.JK,-0.007067137809187329,1448.75,1419.7749999999999,1,Buy,-0.007067137809187329,0.9929328621908127,False,False,,,,None
15070,2022-02-04,1315.2750244140625,1400.0,1420.0,1400.0,1405.0,226000,BNLI.JK,-0.003558718861209953,1440.75,1411.935,1,Buy,-0.003558718861209953,0.989399293286219,False,False,,,,None
15071,2022-02-07,1329.3673095703125,1415.0,1420.0,1405.0,1410.0,84500,BNLI.JK,0.010714285714285676,1434.5,1405.81,1,Buy,0.010714285714285676,0.9999999999999999,False,False,,,,None
15072,2022-02-08,1334.0648193359375,1420.0,1440.0,1415.0,1415.0,79200,BNLI.JK,0.0035335689045936647,1428.0,1399.44,1,Buy,0.0035335689045936647,1.0035335689045934,False,False,,,,None
15073,2022-02-09,1334.0648193359375,1420.0,1450.0,1410.0,1420.0,92100,BNLI.JK,0.0,1422.5,1394.05,1,Buy,0.0,1.0035335689045934,False,False,,,,None
15074,2022-02-10,1338.7620849609375,1425.0,1435.0,1420.0,1420.0,77400,BNLI.JK,0.0035211267605634866,1420.25,1391.845,0,Sell,0.0035211267605634866,1.007067137809187,False,True,,,,None
15075,2022-02-11,1338.7620849609375,1425.0,1440.0,1415.0,1425.0,76200,BNLI.JK,0.0,1420.5,1392.09,0,Sell,0.0,1.007067137809187,False,False,,,,None
15076,2022-02-14,1319.97265625,1405.0,1425.0,1400.0,1425.0,184100,BNLI.JK,-0.01403508771929829,1419.75,1391.355,0,Sell,-0.0,1.007067137809187,False,False,,,,None
15077,2022-02-15,1324.669921875,1410.0,1420.0,1405.0,1405.0,61200,BNLI.JK,0.003558718861210064,1419.75,1391.355,0,Sell,0.0,1.007067137809187,False,False,,,,None
15078,2022-02-16,1319.97265625,1405.0,1425.0,1405.0,1410.0,84800,BNLI.JK,-0.0035460992907800915,1422.0,1393.56,0,Sell,-0.0,1.007067137809187,False,False,,,,None
15079,2022-02-17,1319.97265625,1405.0,1415.0,1405.0,1405.0,35300,BNLI.JK,0.0,1421.75,1393.315,0,Sell,0.0,1.007067137809187,False,False,,,,None
15080,2022-02-18,1324.669921875,1410.0,1420.0,1400.0,1405.0,59500,BNLI.JK,0.003558718861210064,1422.0,1393.56,0,Sell,0.0,1.007067137809187,False,False,,,,None
15081,2022-02-21,1338.7620849609375,1425.0,1435.0,1415.0,1415.0,71100,BNLI.JK,0.010638297872340496,1423.25,1394.785,0,Sell,0.0,1.007067137809187,False,False,,,,None
15082,2022-02-22,1334.0648193359375,1420.0,1435.0,1420.0,1435.0,55300,BNLI.JK,-0.0035087719298245723,1422.75,1394.295,0,Sell,-0.0,1.007067137809187,False,False,,,,None
15083,2022-02-23,1329.3673095703125,1415.0,1430.0,1410.0,1420.0,121600,BNLI.JK,-0.0035211267605633756,1422.5,1394.05,0,Sell,-0.0,1.007067137809187,False,False,,,,None
15084,2022-02-24,1301.1827392578125,1385.0,1420.0,1360.0,1420.0,414400,BNLI.JK,-0.021201413427561877,1417.0,1388.66,1,Buy,-0.0,1.007067137809187,True,False,-0.0254493500529398,2022-03-04,1350.0,Loss
15085,2022-02-25,1291.7880859375,1375.0,1425.0,1365.0,1380.0,116400,BNLI.JK,-0.0072202166064981865,1412.75,1384.495,1,Buy,-0.0072202166064981865,0.9997958949369187,False,False,,,,None
15086,2022-03-01,1301.1827392578125,1385.0,1400.0,1375.0,1375.0,87000,BNLI.JK,0.0072727272727273196,1410.25,1382.045,1,Buy,0.0072727272727273196,1.007067137809187,False,False,,,,None
15087,2022-03-02,1287.090576171875,1370.0,1385.0,1370.0,1385.0,71000,BNLI.JK,-0.010830324909747335,1406.75,1378.615,1,Buy,-0.010830324909747335,0.9961602735007843,False,False,,,,None
15088,2022-03-04,1268.3009033203125,1350.0,1370.0,1350.0,1370.0,154400,BNLI.JK,-0.014598540145985384,1403.5,1375.43,0,Stop Loss,-0.014598540145985384,0.9816177877562473,False,True,,,,None
15089,2022-03-07,1249.5113525390625,1330.0,1365.0,1330.0,1360.0,183700,BNLI.JK,-0.014814814814814836,1399.75,1371.7549999999999,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15090,2022-03-08,1258.90625,1340.0,1365.0,1325.0,1330.0,32500,BNLI.JK,0.007518796992481258,1396.75,1368.815,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15091,2022-03-09,1254.208740234375,1335.0,1365.0,1330.0,1340.0,91100,BNLI.JK,-0.003731343283582045,1392.75,1364.895,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15092,2022-03-10,1240.116455078125,1320.0,1335.0,1305.0,1335.0,65500,BNLI.JK,-0.011235955056179803,1387.75,1359.995,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15093,2022-03-11,1230.7218017578125,1310.0,1315.0,1305.0,1315.0,144300,BNLI.JK,-0.007575757575757569,1382.25,1354.605,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15094,2022-03-14,1244.81396484375,1325.0,1350.0,1310.0,1330.0,105900,BNLI.JK,0.011450381679389388,1377.25,1349.705,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15095,2022-03-15,1249.5113525390625,1330.0,1360.0,1325.0,1325.0,139500,BNLI.JK,0.0037735849056603765,1372.5,1345.05,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15096,2022-03-16,1277.69580078125,1360.0,1420.0,1350.0,1350.0,249600,BNLI.JK,0.022556390977443552,1370.25,1342.845,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15097,2022-03-17,1277.69580078125,1360.0,1380.0,1345.0,1365.0,99100,BNLI.JK,0.0,1367.75,1340.395,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15098,2022-03-18,1254.208740234375,1335.0,1360.0,1330.0,1360.0,73700,BNLI.JK,-0.018382352941176516,1364.25,1336.965,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15099,2022-03-21,1268.3009033203125,1350.0,1350.0,1325.0,1335.0,29200,BNLI.JK,0.011235955056179803,1361.5,1334.27,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15100,2022-03-22,1254.208740234375,1335.0,1355.0,1330.0,1350.0,24100,BNLI.JK,-0.011111111111111072,1357.75,1330.595,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15101,2022-03-23,1254.208740234375,1335.0,1335.0,1320.0,1335.0,124600,BNLI.JK,0.0,1353.25,1326.185,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15102,2022-03-24,1221.326904296875,1300.0,1325.0,1300.0,1325.0,222500,BNLI.JK,-0.02621722846441943,1347.25,1320.305,0,Stop Loss,-0.0,0.9816177877562473,False,False,,,,None
15103,2022-03-25,1221.326904296875,1300.0,1300.0,1290.0,1300.0,194700,BNLI.JK,0.0,1341.5,1314.67,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15104,2022-03-28,1221.326904296875,1300.0,1300.0,1290.0,1300.0,147400,BNLI.JK,0.0,1337.25,1310.5049999999999,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15105,2022-03-29,1221.326904296875,1300.0,1300.0,1290.0,1300.0,67400,BNLI.JK,0.0,1333.5,1306.83,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15106,2022-03-30,1240.116455078125,1320.0,1325.0,1295.0,1300.0,80100,BNLI.JK,0.01538461538461533,1330.25,1303.645,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15107,2022-03-31,1240.116455078125,1320.0,1350.0,1315.0,1320.0,82600,BNLI.JK,0.0,1327.75,1301.195,0,Stop Loss,0.0,0.9816177877562473,False,False,,,,None
15108,2022-04-01,1254.208740234375,1335.0,1345.0,1320.0,1320.0,82600,BNLI.JK,0.011363636363636465,1327.0,1300.46,0,Reset,0.0,0.9816177877562473,False,False,,,,None
15109,2022-04-04,1230.7218017578125,1310.0,1340.0,1300.0,1340.0,77900,BNLI.JK,-0.01872659176029967,1326.0,1299.48,0,Reset,-0.0,0.9816177877562473,False,False,,,,None
15110,2022-04-05,1230.7218017578125,1310.0,1310.0,1300.0,1310.0,28000,BNLI.JK,0.0,1324.5,1298.01,0,Reset,0.0,0.9816177877562473,False,False,,,,None
15111,2022-04-06,1221.326904296875,1300.0,1310.0,1295.0,1310.0,77200,BNLI.JK,-0.007633587786259555,1322.75,1296.295,0,Reset,-0.0,0.9816177877562473,False,False,,,,None
15112,2022-04-07,1221.326904296875,1300.0,1310.0,1295.0,1300.0,41700,BNLI.JK,0.0,1321.75,1295.315,0,Reset,0.0,0.9816177877562473,False,False,,,,None
15113,2022-04-08,1221.326904296875,1300.0,1330.0,1290.0,1300.0,44100,BNLI.JK,0.0,1321.25,1294.825,0,Reset,0.0,0.9816177877562473,False,False,,,,None
