,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,LowerBand,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
10837,2025-08-05,1780.0,1780.0,2100.0,1700.0,1900.0,807242900,CDIA.JK,-0.005586592178770999,1202.8,1178.744,0,,,,False,False,,,,None
10838,2025-08-06,1700.0,1700.0,1815.0,1690.0,1780.0,370230600,CDIA.JK,-0.0449438202247191,1275.0,1249.5,0,,-0.0,1.0,False,False,,,,None
10839,2025-08-07,1565.0,1565.0,1775.0,1525.0,1725.0,570723000,CDIA.JK,-0.0794117647058824,1337.25,1310.5049999999999,0,,-0.0,1.0,False,False,,,,None
10840,2025-08-08,1580.0,1580.0,1725.0,1525.0,1700.0,293903500,CDIA.JK,0.009584664536741228,1396.25,1368.325,0,,0.0,1.0,False,False,,,,None
10841,2025-08-11,1515.0,1515.0,1605.0,1500.0,1580.0,288111400,CDIA.JK,-0.04113924050632911,1447.0,1418.06,0,,-0.0,1.0,False,False,,,,None
10842,2025-08-12,1550.0,1550.0,1575.0,1490.0,1525.0,340288900,CDIA.JK,0.02310231023102305,1493.25,1463.385,0,,0.0,1.0,False,False,,,,None
10843,2025-08-13,1675.0,1675.0,1685.0,1530.0,1550.0,341197500,CDIA.JK,0.08064516129032251,1538.0,1507.24,0,,0.0,1.0,False,False,,,,None
10844,2025-08-14,1635.0,1635.0,1705.0,1615.0,1690.0,264387000,CDIA.JK,-0.023880597014925398,1580.75,1549.135,0,,-0.0,1.0,False,False,,,,None
10845,2025-08-15,1560.0,1560.0,1650.0,1560.0,1645.0,184479600,CDIA.JK,-0.04587155963302747,1610.0,1577.8,1,Buy,-0.0,1.0,True,False,-0.028846153846153855,2025-08-19,1515.0,Loss
10846,2025-08-19,1515.0,1515.0,1580.0,1510.0,1560.0,145818100,CDIA.JK,-0.028846153846153855,1625.0,1592.5,0,Stop Loss,-0.028846153846153855,0.9711538461538461,False,True,,,,None
10847,2025-08-20,1505.0,1505.0,1535.0,1500.0,1520.0,147406500,CDIA.JK,-0.0066006600660065695,1624.5,1592.01,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10848,2025-08-21,1455.0,1455.0,1525.0,1450.0,1505.0,190568100,CDIA.JK,-0.03322259136212624,1621.5,1589.07,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10849,2025-08-22,1485.0,1485.0,1515.0,1410.0,1455.0,198009600,CDIA.JK,0.020618556701030855,1620.0,1587.6,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10850,2025-08-25,1530.0,1530.0,1575.0,1480.0,1500.0,254115600,CDIA.JK,0.030303030303030276,1613.25,1580.985,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10851,2025-08-26,1505.0,1505.0,1555.0,1505.0,1530.0,88058400,CDIA.JK,-0.016339869281045805,1597.0,1565.06,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10852,2025-08-27,1520.0,1520.0,1535.0,1490.0,1510.0,101389100,CDIA.JK,0.009966777408637828,1581.5,1549.87,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10853,2025-08-28,1525.0,1525.0,1575.0,1500.0,1520.0,149665700,CDIA.JK,0.00328947368421062,1575.25,1543.745,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10854,2025-08-29,1480.0,1480.0,1515.0,1445.0,1490.0,146630700,CDIA.JK,-0.02950819672131144,1575.0,1543.5,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10855,2025-09-01,1430.0,1430.0,1465.0,1350.0,1355.0,122312600,CDIA.JK,-0.03378378378378377,1565.0,1533.7,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10856,2025-09-02,1455.0,1455.0,1490.0,1435.0,1440.0,63729900,CDIA.JK,0.0174825174825175,1548.25,1517.285,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10857,2025-09-03,1445.0,1445.0,1475.0,1435.0,1465.0,43345300,CDIA.JK,-0.0068728522336769515,1531.5,1500.87,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10858,2025-09-04,1430.0,1430.0,1455.0,1425.0,1450.0,35707700,CDIA.JK,-0.01038062283737029,1518.0,1487.6399999999999,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10859,2025-09-08,1375.0,1375.0,1425.0,1375.0,1405.0,95722400,CDIA.JK,-0.038461538461538436,1508.5,1478.33,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10860,2025-09-09,1320.0,1320.0,1390.0,1280.0,1375.0,116740600,CDIA.JK,-0.040000000000000036,1495.5,1465.59,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10861,2025-09-10,1385.0,1385.0,1410.0,1315.0,1325.0,131694700,CDIA.JK,0.04924242424242431,1489.0,1459.22,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10862,2025-09-11,1380.0,1380.0,1450.0,1375.0,1400.0,108773000,CDIA.JK,-0.0036101083032491488,1480.5,1450.8899999999999,0,Stop Loss,-0.0,0.9711538461538461,False,False,,,,None
10863,2025-09-12,1385.0,1385.0,1435.0,1350.0,1380.0,62356100,CDIA.JK,0.0036231884057971175,1466.0,1436.68,0,Stop Loss,0.0,0.9711538461538461,False,False,,,,None
10864,2025-09-15,1520.0,1520.0,1540.0,1390.0,1395.0,244462000,CDIA.JK,0.09747292418772568,1460.25,1431.045,0,Reset,0.0,0.9711538461538461,False,False,,,,None
10865,2025-09-16,1485.0,1485.0,1595.0,1480.0,1565.0,228338200,CDIA.JK,-0.023026315789473673,1456.5,1427.37,0,Reset,-0.0,0.9711538461538461,False,False,,,,None
10866,2025-09-17,1475.0,1475.0,1515.0,1455.0,1490.0,122356000,CDIA.JK,-0.006734006734006703,1454.5,1425.41,0,Reset,-0.0,0.9711538461538461,False,False,,,,None
10867,2025-09-18,1505.0,1505.0,1555.0,1485.0,1490.0,256982200,CDIA.JK,0.02033898305084736,1454.5,1425.41,0,Reset,0.0,0.9711538461538461,False,False,,,,None
10868,2025-09-19,1550.0,1550.0,1620.0,1515.0,1530.0,439554900,CDIA.JK,0.029900332225913706,1459.25,1430.065,0,Reset,0.0,0.9711538461538461,False,False,,,,None
10869,2025-09-22,1785.0,1785.0,1795.0,1565.0,1575.0,976144000,CDIA.JK,0.15161290322580645,1474.25,1444.7649999999999,0,Reset,0.0,0.9711538461538461,False,False,,,,None
10870,2025-09-23,1735.0,1735.0,1890.0,1690.0,1820.0,622752500,CDIA.JK,-0.02801120448179273,1484.5,1454.81,0,Reset,-0.0,0.9711538461538461,False,False,,,,None
10871,2025-09-24,1690.0,1690.0,1780.0,1630.0,1760.0,655197400,CDIA.JK,-0.025936599423631135,1493.75,1463.875,0,Reset,-0.0,0.9711538461538461,False,False,,,,None
10872,2025-09-25,1695.0,1695.0,1830.0,1640.0,1705.0,829997200,CDIA.JK,0.002958579881656709,1502.5,1472.45,0,Reset,0.0,0.9711538461538461,False,False,,,,None
10873,2025-09-26,1770.0,1770.0,1780.0,1695.0,1730.0,374764700,CDIA.JK,0.04424778761061954,1514.75,1484.455,0,Reset,0.0,0.9711538461538461,False,False,,,,None
