,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,Signal,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
2271,2022-01-28,4600.0,4600.0,4600.0,4600.0,4600.0,1000,DSSA.JK,0.0,4741.75,,,,0,,,False,False,,,,None
2272,2022-01-31,4600.0,4600.0,4600.0,4600.0,4600.0,2000,DSSA.JK,0.0,4722.0,,,,0,0.0,1.0,False,False,,,,None
2273,2022-02-02,4600.0,4600.0,4600.0,4600.0,4600.0,4000,DSSA.JK,0.0,4702.25,,,,0,0.0,1.0,False,False,,,,None
2274,2022-02-03,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4682.5,,,,0,0.0,1.0,False,False,,,,None
2275,2022-02-04,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4662.75,,,,0,0.0,1.0,False,False,,,,None
2276,2022-02-07,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4643.0,,,,0,0.0,1.0,False,False,,,,None
2277,2022-02-08,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4623.25,,,,0,0.0,1.0,False,False,,,,None
2278,2022-02-09,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4603.5,,,,0,0.0,1.0,False,False,,,,None
2279,2022-02-10,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4601.125,,,,0,0.0,1.0,False,False,,,,None
2280,2022-02-11,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4601.125,,,,0,0.0,1.0,False,False,,,,None
2281,2022-02-14,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4601.0,,,,0,0.0,1.0,False,False,,,,None
2282,2022-02-15,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4600.875,,,,0,0.0,1.0,False,False,,,,None
2283,2022-02-16,4600.0,4600.0,4600.0,4600.0,4600.0,0,DSSA.JK,0.0,4600.75,,,,0,0.0,1.0,False,False,,,,None
2284,2022-02-17,4650.0,4650.0,4652.5,4600.0,4600.0,3000,DSSA.JK,0.010869565217391353,4603.125,,,,0,0.0,1.0,False,False,,,,None
2285,2022-02-18,4650.0,4650.0,4650.0,4650.0,4650.0,1000,DSSA.JK,0.0,4605.5,,,,0,0.0,1.0,False,False,,,,None
2286,2022-02-21,4650.0,4650.0,4650.0,4650.0,4650.0,0,DSSA.JK,0.0,4607.875,,,,0,0.0,1.0,False,False,,,,None
2287,2022-02-22,4650.0,4650.0,4650.0,4650.0,4650.0,0,DSSA.JK,0.0,4610.25,,,,0,0.0,1.0,False,False,,,,None
2288,2022-02-23,4650.0,4650.0,4650.0,4650.0,4650.0,1000,DSSA.JK,0.0,4612.625,,,,0,0.0,1.0,False,False,,,,None
2289,2022-02-24,4650.0,4650.0,4650.0,4650.0,4650.0,0,DSSA.JK,0.0,4615.0,,,,0,0.0,1.0,False,False,,,,None
2290,2022-02-25,4650.0,4650.0,4650.0,4650.0,4650.0,0,DSSA.JK,0.0,4617.5,4617.5,4666.436048492959,4568.563951507041,0,0.0,1.0,False,False,,,,None
2291,2022-03-01,4650.0,4650.0,4650.0,4650.0,4650.0,0,DSSA.JK,0.0,4620.0,4620.0,4670.2624689950035,4569.7375310049965,0,0.0,1.0,False,False,,,,None
2292,2022-03-02,4720.0,4720.0,4720.0,4650.0,4650.0,7000,DSSA.JK,0.01505376344086029,4626.0,4626.0,4692.3007501743705,4559.6992498256295,0,0.0,1.0,False,False,,,,None
2293,2022-03-04,5440.0,5440.0,5640.0,4740.0,4740.0,27000,DSSA.JK,0.15254237288135597,4668.0,4668.0,5037.215384294859,4298.784615705141,0,0.0,1.0,False,False,,,,None
2294,2022-03-07,5060.0,5060.0,5440.0,5060.0,5440.0,8000,DSSA.JK,-0.06985294117647056,4691.0,4691.0,5097.779391911895,4284.220608088105,0,-0.0,1.0,False,False,,,,None
2295,2022-03-08,4707.5,4707.5,4707.5,4707.5,4707.5,3000,DSSA.JK,-0.06966403162055335,4696.375,4696.375,5100.926327170966,4291.823672829034,0,-0.0,1.0,False,False,,,,None
2296,2022-03-09,4400.0,4400.0,4400.0,4380.0,4382.5,23000,DSSA.JK,-0.06532129580456714,4686.375,4686.375,5110.376846445831,4262.373153554169,0,-0.0,1.0,False,False,,,,None
2297,2022-03-10,4400.0,4400.0,4400.0,4400.0,4400.0,2000,DSSA.JK,0.0,4676.375,4676.375,5118.021068702078,4234.728931297922,0,0.0,1.0,False,False,,,,None
2298,2022-03-11,4400.0,4400.0,4400.0,4400.0,4400.0,0,DSSA.JK,0.0,4666.375,4666.375,5124.067941771412,4208.682058228588,0,0.0,1.0,False,False,,,,None
