,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
5843,2023-08-04,2870.0,2870.0,2940.0,2830.0,2830.0,53097600,AMMN.JK,0.014134275618374659,2190.75,,,,,0,,,,False,False,,,,None
5844,2023-08-07,2930.0,2930.0,2950.0,2850.0,2880.0,45436600,AMMN.JK,0.020905923344947785,2249.5,,,,,0,,0.0,1.0,False,False,,,,None
5845,2023-08-08,2960.0,2960.0,2970.0,2920.0,2930.0,54714300,AMMN.JK,0.010238907849829282,2310.0,,,,,0,,0.0,1.0,False,False,,,,None
5846,2023-08-09,3000.0,3000.0,3020.0,2960.0,2960.0,55024200,AMMN.JK,0.013513513513513598,2372.5,,,,,0,,0.0,1.0,False,False,,,,None
5847,2023-08-10,3000.0,3000.0,3040.0,2800.0,3010.0,52237600,AMMN.JK,0.0,2434.25,,,,,0,,0.0,1.0,False,False,,,,None
5848,2023-08-11,3000.0,3000.0,3020.0,2990.0,3000.0,27254100,AMMN.JK,0.0,2496.25,,,,,0,,0.0,1.0,False,False,,,,None
5849,2023-08-14,3080.0,3080.0,3080.0,3000.0,3010.0,37538100,AMMN.JK,0.026666666666666616,2561.25,,,,,0,,0.0,1.0,False,False,,,,None
5850,2023-08-15,3190.0,3190.0,3200.0,3070.0,3080.0,48297700,AMMN.JK,0.03571428571428581,2630.75,,,,,0,,0.0,1.0,False,False,,,,None
5851,2023-08-16,3300.0,3300.0,3300.0,3170.0,3200.0,52448700,AMMN.JK,0.034482758620689724,2702.0,,,,,0,,0.0,1.0,False,False,,,,None
5852,2023-08-18,3350.0,3350.0,3380.0,3300.0,3330.0,39653600,AMMN.JK,0.015151515151515138,2777.25,,,,,0,,0.0,1.0,False,False,,,,None
5853,2023-08-21,3440.0,3440.0,3440.0,3340.0,3360.0,42819200,AMMN.JK,0.02686567164179099,2855.5,,,,,0,,0.0,1.0,False,False,,,,None
5854,2023-08-22,3610.0,3610.0,3610.0,3430.0,3440.0,77881500,AMMN.JK,0.04941860465116288,2935.5,,,,,0,,0.0,1.0,False,False,,,,None
5855,2023-08-23,3830.0,3830.0,3840.0,3610.0,3620.0,71234600,AMMN.JK,0.06094182825484773,3012.0,,,,,0,,0.0,1.0,False,False,,,,None
5856,2023-08-24,3950.0,3950.0,4020.0,3540.0,3840.0,102057200,AMMN.JK,0.031331592689294974,3095.5,,,,,0,,0.0,1.0,False,False,,,,None
