,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
25715,2022-01-28,1277.4957275390625,1462.5,1481.25,1456.25,1475.0,6172400,ISAT.JK,-0.004255319148936176,1507.5,,,,,0,,,,False,False,,,,None
25716,2022-01-31,1250.1988525390625,1431.25,1468.75,1406.25,1462.5,14095200,ISAT.JK,-0.021367521367521403,1498.75,,,,,0,,-0.0,1.0,False,False,,,,None
25717,2022-02-02,1244.7393798828125,1425.0,1450.0,1425.0,1431.25,11152000,ISAT.JK,-0.004366812227074246,1491.875,,,,,0,,-0.0,1.0,False,False,,,,None
25718,2022-02-03,1244.7393798828125,1425.0,1431.25,1387.5,1431.25,32097200,ISAT.JK,0.0,1486.25,,,,,0,,0.0,1.0,False,False,,,,None
25719,2022-02-04,1228.3612060546875,1406.25,1431.25,1400.0,1425.0,12641600,ISAT.JK,-0.013157894736842146,1477.8125,,,,,0,,-0.0,1.0,False,False,,,,None
25720,2022-02-07,1239.2799072265625,1418.75,1431.25,1393.75,1406.25,12610400,ISAT.JK,0.008888888888888946,1470.0,,,,,0,,0.0,1.0,False,False,,,,None
25721,2022-02-08,1217.4422607421875,1393.75,1437.5,1381.25,1431.25,23081200,ISAT.JK,-0.017621145374449365,1462.1875,,,,,0,,-0.0,1.0,False,False,,,,None
25722,2022-02-09,1206.523681640625,1381.25,1406.25,1375.0,1393.75,19813200,ISAT.JK,-0.008968609865470878,1456.875,,,,,0,,-0.0,1.0,False,False,,,,None
25723,2022-02-10,1233.820556640625,1412.5,1418.75,1381.25,1381.25,16829200,ISAT.JK,0.02262443438914019,1453.125,,,,,0,,0.0,1.0,False,False,,,,None
25724,2022-02-11,1222.90185546875,1400.0,1412.5,1393.75,1412.5,12534000,ISAT.JK,-0.008849557522123908,1450.0,,,,,0,,-0.0,1.0,False,False,,,,None
25725,2022-02-14,1190.1455078125,1362.5,1418.75,1350.0,1400.0,15335600,ISAT.JK,-0.0267857142857143,1442.5,,,,,0,,-0.0,1.0,False,False,,,,None
25726,2022-02-15,1201.0643310546875,1375.0,1375.0,1350.0,1362.5,13614400,ISAT.JK,0.00917431192660545,1436.875,,,,,0,,0.0,1.0,False,False,,,,None
25727,2022-02-16,1217.4422607421875,1393.75,1406.25,1368.75,1400.0,15078800,ISAT.JK,0.013636363636363669,1432.8125,,,,,0,,0.0,1.0,False,False,,,,None
25728,2022-02-17,1195.60498046875,1368.75,1400.0,1362.5,1393.75,13136800,ISAT.JK,-0.017937219730941756,1428.75,,,,,0,,-0.0,1.0,False,False,,,,None
25729,2022-02-18,1211.9830322265625,1387.5,1393.75,1362.5,1368.75,12917200,ISAT.JK,0.013698630136986356,1423.4375,,,,,0,,0.0,1.0,False,False,,,,None
25730,2022-02-21,1201.0643310546875,1375.0,1406.25,1375.0,1387.5,7300800,ISAT.JK,-0.009009009009009028,1417.1875,,,,,0,,-0.0,1.0,False,False,,,,None
25731,2022-02-22,1272.0361328125,1456.25,1462.5,1381.25,1381.25,49442400,ISAT.JK,0.05909090909090908,1415.3125,,,,,0,,0.0,1.0,False,False,,,,None
25732,2022-02-23,1217.4422607421875,1393.75,1475.0,1387.5,1468.75,41946000,ISAT.JK,-0.0429184549356223,1411.25,,,,,0,,-0.0,1.0,False,False,,,,None
25733,2022-02-24,1201.0643310546875,1375.0,1431.25,1362.5,1400.0,32584400,ISAT.JK,-0.013452914798206317,1405.625,,,,,0,,-0.0,1.0,False,False,,,,None
25734,2022-02-25,1195.60498046875,1368.75,1387.5,1368.75,1387.5,16375200,ISAT.JK,-0.004545454545454519,1400.625,1400.625,1458.1078349665313,1343.1421650334687,1314.400747550203,0,,-0.0,1.0,False,False,,,,None
